吖	kyaz	口丫
𢟰	xlui	忄立𧰨
𢣏	xcqm	忄艹去皿
𢣕	busx	匕矢龴疋心
𢰇	frsu	扌亻厶矢
𣋞	ocqm	日艹去皿
𣜬	mvbw	木爫冖心夂
𣝅	mbuz	木匕矢龴疋
𣤃	buqn	匕示欠乃
𣩄	dqmn	歹去皿
𣩱	dcqm	歹艹去皿
𤢵	qicd	犭厂艹田冂一丶
𤸖	bykz	疒衣口
𤸳	buab	疒山一口䒑
𤻢	bkuy	疒匚矢几口又
𥡽	hdvw	禾⺈𠃊目夂
𥤦	bbyz	宀八又
𥴨	vvbw	竹爫冖心夂
𦗍	ewbf	耳亠丷冖方
𦗐	elui	耳立𧰨
𦤦	zqor	自犬曰勹𠃊人
𦥂	ttbt	土土冖𠫔土
𦥈	ybgt	⺷冖𠫔土
𦩴	vuab	舟山一口䒑
𧏹	ilui	虫立𧰨
𧓁	ivbw	虫爫冖心夂
𧡋	ittj	厂土土見
𧪚	yuab	訁山一口䒑
𧰿	ucxx	豕艹乂
𧵨	bbnv	貝宀女
𨶂	mbam	門丷一八皿
𩂒	yisi	雨⺁巳
𩂢	ypuv	雨丿{水}
𩈋	mjpm	面介
𩪂	goub	冎⺼山一口䒑
𩫇	bwkk	不亠口冂口
𩮖	egpb	E𠫔彡山一口䒑
𪇈	vbxn	爫冖心夂鳥
𪕭	jvor	臼{鼠下}曰勹𠃊人
㜝	nrdy	女𠆢丶㇇酉
㟁	uigj	山厂干
㱘	ioov	厂曰⺝犬止
㸩	ngjq	牜干
㽢	tddm	田大电
䁆	oddm	目大电
䅁	bnhe	宀女禾
䅖	hddm	禾大电
䎏	rdvx	𠆢丶㇇口习习
䎨	lddm	耒大电
䜙	yoyh	訁日幺幺灬
䨄	rdvv	𠆢丶㇇酉亻{隹右}
䬓	floo	風立日
䮗	muig	馬山厂干
䯥	gooh	冎⺼日幺幺灬
侒	rbnv	亻宀女
俺	rddm	亻大电
偣	rloo	亻立日
儑	royh	亻日幺幺灬
厂	appa	一丿
厈	igjh	厂干
咹	kbnv	口宀女
唵	kddm	口大电
啽	krac	口𠆢一口廾
垵	tbnv	土宀女
埯	tddm	土大电
堓	tuig	土山厂干
媕	nrac	女𠆢一口廾
安	bnvc	宀女
屵	uihj	山厂
屽	ugjj	山干
岸	uigj	山厂干
峖	ubnv	山宀女
广	dihd	丶厂
庵	gddm	广大电
按	fbnv	扌宀女
揞	floo	扌立日
晻	oddm	日大电
暗	oloo	日立日
案	bnmu	宀女木
桉	mbnv	木宀女
氨	qbnv	气宀女
洝	dbnv	氵宀女
犴	qgjr	犭干
玵	wgjf	𤣩甘
痷	bddm	疒大电
盦	rdvm	𠆢丶㇇酉皿
盫	rakm	𠆢一口酉皿
罯	sloo	罒立日
胺	obnv	⺼宀女
腤	oloo	⺼立日
荌	cbnv	艹宀女
菴	cddm	艹大电
萻	cloo	艹立日
葊	crac	艹𠆢一口廾
蓭	cgdd	艹广大电
裺	pddm	衤大电
誝	yrdk	訁𠆢丶㇇口
諳	yloo	訁立日
谙	yloo	讠立日
豻	vgji	豸干
貋	vogj	豸日干
銨	jbnv	金宀女
錌	juig	金山厂干
铵	jbnv	钅宀女
闇	mloo	門立日
隌	eloo	⻖立日
雸	ygju	雨甘
鞌	bnge	宀女革
鞍	gbnv	革宀女
韽	rdvo	𠆢丶㇇酉立日
馣	hodd	禾日大电
鮟	ybnv	魚宀女
鵪	ddnn	大电鳥
鶕	lonn	立日鳥
鹌	ddnn	大电鸟
黯	lhlo	{里}灬立日
𠉬	rkki	亻口口厂
𠪚	iewf	厂{⿱𠃍耳}攵
𠰑	kigj	口厂干
𠽪	kdlo	口氵立日
𠿑	kwax	口戊{一}口心
𡎑	twip	土文厂彡
𡪁	bprk	宀爿𠆢丶㇇口
𡪙	bnoo	宀女日月
𡯏	ydzz	尢斗
𡹼	uiwk	山厂亠二口
𡽜	uhdk	山禾刂亠二口
𢰍	fwkh	扌亠口火
𣆛	xooi	覀日
𣚖	mcdd	木艹大电
𣣚	ddqm	大电欠
𣵱	dfwh	氵扌王
𣽥	dgye	氵干頁
𤃷	dmlo	氵門立日
𤜁	snwx	厶牛戊{一}口心
𤞿	qgqr	犭干犬
𤟉	quig	犭山厂干
𥏮	uloo	矢立日
𥦍	bboc	宀八日廾
𥳬	vlho	竹{里}灬
𦺽	codd	艹日大电
𧖮	pmoo	丿皿日
𧩸	yrac	訁𠆢一口廾
𧫥	ygdd	訁广大电
𧫧	yrdy	訁𠆢丶㇇酉
𧮍	ymlo	訁門立日
𨲊	egug	E𠫔山厂干
𩅝	yydd	雨云大电
𩈴	mloo	面立日
𩓤	uigy	山厂干頁
𩭢	egpg	E𠫔彡山厂干
𩹎	yloo	魚立日
𩽾	ybnv	鱼宀女
𪁟	rdvn	𠆢丶㇇口鳥
𪒠	lhew	{里}灬{⿱𠃍耳}攵
𪘒	vkrk	止凵人人一人人𠆢丶㇇口
㦹	oawg	日一勿戈
㭿	mope	木日丿𠄌卩
㼜	ywah	央瓦
䀚	ople	目丿𠄌卩
䍩	ywfh	{羊}攵
䒢	cple	艹丿𠄌卩
䩕	gple	革丿𠄌卩
䭹	mple	馬丿𠄌卩
䭺	mwji	馬亠几
仰	rple	亻丿𠄌卩
卬	pler	丿𠄌卩
岇	uple	山丿𠄌卩
昂	ople	日丿𠄌卩
昻	oger	日工卩
枊	mple	木丿𠄌卩
盎	ymnh	央皿
肮	owji	⺼亠几
醠	yymn	酉央皿
骯	gowj	冎⺼亠几
𠵫	kope	口日丿𠄌卩
𠹃	kymn	口央皿
𡕉	tkbk	士口冖癶凵口
𡵙	uple	山丿𠄌卩
𢓋	rple	彳丿𠄌卩
𣉗	oymn	日央皿
𣖮	mymn	木央皿
𤭒	lwal	良瓦
𦫫	gxxb	公习习⺈巴
𨋕	iple	車丿𠄌卩
𩉰	gajb	革一巾
𩑝	pley	丿𠄌卩頁
𩔘	syly	龴用力頁
𩜟	uope	飠日丿𠄌卩
㑃	ryli	亻幺力
㕭	kycz	口夭
㘬	tgzu	土勾
㘭	tyvv	土幺𠃌
㜜	nfdw	女龶{⺈}攵
㜩	npkd	女丿冂釆大
㟼	ufdw	山龶{⺈}攵
㠂	ufdw	山龶{⺈}攵
㠗	upkd	山丿冂釆大
㤇	xycb	忄夭
㥿	fdwx	龶{⺈}攵心
㿰	wfpi	亠父皮
䐿	opkd	⺼丿冂釆大
䚫	bfwy	白方攵⺈用
䜒	ypkd	訁丿冂釆大
䞝	tzyu	土龰玉
䥝	jlbi	金鹿匕
䦋	egfw	E𠫔龶{⺈}攵
䫨	fdwy	龶{⺈}攵頁
䮯	mfdw	馬龶{⺈}攵
䯠	goom	冎⺼日皿
䴈	pkcn	丿冂釆大鳥
䵅	fdww	龶{⺈}攵來{夊}
傲	rfdw	亻龶{⺈}攵
凹	lvla	丨㇅丨𠃍一
厫	ifdw	厂龶{⺈}攵
嗷	kfdw	口龶{⺈}攵
嗸	fdwk	龶{⺈}攵口
嚣	kkyk	口口页口口
坳	tyli	土幺力
垇	taou	土凹
墺	tpkd	土丿冂釆大
墽	tbfw	土白方攵
奡	bdll	𦣻大{⿰丿丨}
奥	pkmd	丿⺆米大
奧	pkcd	丿冂釆大
媪	nomn	女日皿
媼	nkrm	女囗人皿
嫯	fdwn	龶{⺈}攵女
岙	yujc	夭山
岰	uyli	山幺力
嶅	fdwu	龶{⺈}攵山
嶴	pkcu	丿冂釆大山
廒	gfdw	广龶{⺈}攵
慠	xfdw	忄龶{⺈}攵
懊	xpkd	忄丿冂釆大
扷	fycu	扌夭
抝	fyvv	扌幺𠃌
拗	fyli	扌幺力
摮	fdwu	龶{⺈}攵手
擙	fpkd	扌丿冂釆大
敖	fdwf	龶{⺈}攵
柪	myli	木幺力
梎	mbbi	木白匕
泑	dyli	氵幺力
滶	dfdw	氵龶{⺈}攵
澚	dpkk	氵丿囗釆丂
澳	dpkd	氵丿冂釆大
熝	hluo	火鹿
熬	fdwh	龶{⺈}攵灬
爊	hlho	火鹿灬
獒	fdwq	龶{⺈}攵犬
獓	qfdw	犭龶{⺈}攵
璈	wfdw	𤣩龶{⺈}攵
眑	oyli	目幺力
磝	ufdw	石龶{⺈}攵
翱	bdux	白大十习习
翶	bdpx	白冫丿丶十习习
翺	zdpx	自冫丿丶十习习
聱	fdwe	龶{⺈}攵耳
艹	alla	一〢
芺	cycc	艹夭
蔜	cfdw	艹龶{⺈}攵
螯	fdwi	龶{⺈}攵虫
袄	pycp	衤夭
襖	ppkd	衤丿冂釆大
謷	fdwk	龶{⺈}攵亠二口
謸	yfdw	訁龶{⺈}攵
軪	iyli	車幺力
遨	zfdw	辶龶{⺈}攵
郩	xuoe	㐅𠂇月⻏
鏊	fdwj	龶{⺈}攵金
鏕	jlun	金鹿
鏖	ljnu	鹿金
镺	egyc	E𠫔夭
隞	efdw	⻖龶{⺈}攵
隩	epkd	⻖丿冂釆大
驁	fdwm	龶{⺈}攵馬
骜	fdwm	龶{⺈}攵马
鰲	fdwy	龶{⺈}攵魚
鳌	fdwy	龶{⺈}攵鱼
鷔	fdwn	龶{⺈}攵鳥
鼇	fdwd	龶{⺈}攵口电
𡊛	tquu	土去
𡏼	tfdw	土龶{⺈}攵
𡒃	pkct	丿冂釆大土
𢁱	jycb	巾夭
𢕟	rfdw	彳龶{⺈}攵
𢧴	fdwg	龶{⺈}攵戈
𢲷	fbbf	扌宀八亠父
𢳆	ffdw	扌龶{⺈}攵
𣊁	fdwo	龶{⺈}攵日
𣷫	dfwf	氵方攵
𤇯	yhoi	衣火
𤏶	hlbi	火鹿匕
𤺾	bpkd	疒丿冂釆大
𥂢	fdwm	龶{⺈}攵皿
𥑑	uyli	石幺力
𥜌	upkd	示丿冂釆大
𦪈	fdwv	龶{⺈}攵舟
𦽀	cwye	艹午頁
𧅃	chlh	艹火鹿灬
𧨲	xkkk	⺌冂口亠二口
𨱧	egyl	E𠫔幺力
𩈏	myli	面幺力
𩑍	ylvv	頁𠄌⺃
𩑤	wyeu	午頁
𩕀	fdwy	龶{⺈}攵頁
𩘮	fdwf	龶{⺈}攵風
𩟇	upkd	飠丿冂釆大
𩣻	cyma	艹夭馬
𩥊	wkkm	亠口冂口馬
𩮯	egpw	E𠫔彡龶{⺈}攵
𩱏	fdwg	龶{⺈}攵鬲
𩼈	ypkd	魚丿冂釆大
𪁾	cynn	艹夭鳥
𪃨	uyyn	山幺幺鳥
㔜	vzli	爫子力
㖠	kdui	口大示
㞎	ubai	尸巴
㧊	fujb	扌十巾
㶚	dxgo	氵覀革月
䃻	uygo	石雨革月
䆉	hssb	禾罒厶⺝匕匕
䇑	lpui	立{卑上}十
䎬	lsqu	耒⺫去
䎱	lssb	耒罒厶⺝匕匕
䟦	zpuy	𧾷丿𠂇又
䥯	jssb	金罒厶⺝匕匕
䩗	gooe	革月
䩻	gmae	革馬
䰾	ybau	魚巴
䱝	ypui	魚{卑上}十
䳁	nudy	鳥𠂇丶又
䳊	udyn	𠂇丶又鳥
丷	dppd	丶丿
仈	rbaf	亻八
伯	rbdf	亻白
八	pnnp	丿乀
叐	puyz	丿𠂇又
叭	kbaz	口八
吧	kbaz	口巴
哱	kubz	口十冖子
哵	kkld	口口力刂
坝	tbwu	土贝
垻	tbwu	土貝
壩	tygo	土雨革月
夿	dbaa	大巴
妭	nudy	女𠂇丶又
岜	ubaj	山巴
峇	urak	山𠆢一口
巴	slli	巳丨
弝	gbas	弓巴
扒	fbau	扌八
把	fbau	扌巴
抜	fuyz	扌𠂇又
拔	fudy	扌𠂇丶又
捌	fkld	扌口力刂
朳	mbau	木八
柭	mudy	木𠂇丶又
欛	mygo	木雨革月
灞	dygo	氵雨革月
炦	hudy	火𠂇丶又
爸	fbau	父巴
犮	udyz	𠂇丶又
玐	wbaf	𤣩八
疤	bbak	疒巴
癹	buuo	癶殳
皅	bbad	白巴
矲	ussb	矢罒厶⺝匕匕
笆	vbau	竹巴
粑	mbai	米巴
罢	squi	罒去
罷	ssob	罒厶⺝匕匕
羓	ybah	羊巴
耙	lbaw	耒巴
胈	oudy	⺼𠂇丶又
芭	cbac	艹巴
茇	cudy	艹𠂇丶又
菝	cfuy	艹扌𠂇丶又
蚆	ibas	虫巴
覇	xgoo	覀革月
詙	yudy	訁𠂇丶又
豝	ubai	豕巴
跁	zbau	𧾷巴
跋	zudy	𧾷𠂇丶又
軷	iudy	車𠂇丶又
釟	jban	金八
鈀	jban	金巴
钯	jban	钅巴
霸	ygoo	雨革月
靶	gbae	革巴
颰	fudy	風𠂇丶又
魃	gudy	鬼𠂇丶又
魞	yruu	魚入
鮁	yudy	魚𠂇丶又
鮊	ybdu	魚白
鲃	ybau	鱼巴
鲅	yudy	鱼𠂇丶又
鲌	ybdu	鱼白
鼥	jvuy	臼{鼠下}𠂇丶又
𠐌	rssb	亻罒厶⺝匕匕
𠛋	bdca	巴刂
𠵺	kvba	口爫巴
𡚭	nbav	女八
𢃳	ebjb	彐冖巾巴
𢇷	gudy	广𠂇丶又
𢠭	xbuy	忄宀上小又
𢺞	fygo	扌雨革月
𢻷	bbyz	巴⺊又
𣬶	mbac	毛巴
𣬷	bmca	巴毛
𤜕	tbno	士冖牛覀木目
𤜱	qbar	犭巴
𤣸	wvhf	𤣩丈
𤤒	wudy	𤣩𠂇丶又
𥎱	uudy	矢𠂇丶又
𥐙	ubai	石八
𥝧	hbae	禾巴
𥥛	bbuy	宀八𠂇丶又
𦓧	lbaw	耒八
𦫙	bdba	白⺈巴
𦳺	czuy	艹辶𠂇丶又
𧎱	biis	巴虫虫
𧲧	vbai	豸巴
𧺡	tzuj	土龰十巾
𧺺	tzuy	土龰𠂇丶又
𧿏	zvdd	𧾷㔾丶
𨊹	ibae	車巴
𩃴	ydoo	雨歹月
𩊤	gpuy	革丿𠂇丶又
𩖣	wfgf	文風
𩖽	fpig	風皮
𩚥	ubai	飠巴
𩡩	mbaa	馬八
𩨜	goba	冎⺼巴
𩹏	ybqr	魚白犬
𩽷	yygo	魚雨革月
㓦	bdcd	百刂
㗑	kuaf	口龵一丰
㗗	klpu	口力{卑上}十
㠔	uukx	山尸口辛
㧳	ffuz	扌分手
㼟	bwad	白瓦
㼣	bwad	百瓦
㿟	bbdd	白白
䒔	cbac	艹八
䙓	psqu	衤罒去
䢙	zbwz	辶貝
䳆	bnnd	白鳥
䴽	lwpu	來{夊}{卑上}十
佰	rbdf	亻百
呗	kbwz	口贝
唄	kbwz	口貝
庍	gjbl	广斤
拜	uafg	龵一丰
拝	fafg	扌一丰
挀	fiyi	扌𠂆{𧘇}
捭	fpui	扌{卑上}十
掰	ufuz	手分手
摆	fsqu	扌罒去
擘	ukxu	尸口辛手
擺	fssb	扌罒厶⺝匕匕
敗	bwfw	貝攵
柏	mbdu	木白
栢	mbdu	木百
猈	qpui	犭{卑上}十
瓸	wbda	瓦百
白	poop	丿日
百	abda	一白
稗	hpui	禾{卑上}十
竡	lbdi	立百
粨	mbdi	米百
粺	mpui	米{卑上}十
絔	sbdi	糹百
薭	chpu	艹禾{卑上}十
襬	pssb	衤罒厶⺝匕匕
贁	bbwf	貝貝攵
败	bwfw	贝攵
韛	wkfy	𫝀口㐄卄一丿用
𠟻	bbdc	貝貝刂
𠫛	sgsi	厶𠫔
𠮠	kdcz	口{⺈}
𡏯	tbwf	土貝攵
𡭢	xmun	小木
𢈕	giyi	广𠂆{𧘇}
𢛞	xpui	忄{卑上}十
𣧙	duzd	歹手
𤁣	dssb	氵罒厶⺝匕匕
𤙅	nujb	牜𠂇巾
𤽹	bpui	白{卑上}十
𥬝	vbdu	竹白
𦣺	zlli	自丨
𦣻	azia	一自
𦩋	vfwz	舟非
𦳞	cuaf	艹龵一丰
𨃅	zuaf	𧾷龵一丰
𩋂	gfwe	革非
𩎻	wkff	𫝀口㐄非
𩏞	wkfx	𫝀口㐄田糸
𩑢	byeu	不頁
㚘	ffuu	夫夫
㩯	fpmx	扌𠂉母攵糸
㪵	bdzj	半斗
㸞	ppmm	片片
䉽	mbji	米半
䕰	chct	艹火釆田
䬳	ubji	飠半
伴	rbjf	亻半
办	lbai	力八
半	bfga	丷𰀁
坂	tiyz	土𠂆又
坢	tbju	土半
姅	nbjv	女半
岅	uiyz	山𠂆又
怑	xbjb	忄半
扮	fffu	扌分
扳	fiyz	扌𠂆又
拌	fbju	扌半
搫	vuuz	舟殳手
搬	fvuu	扌舟殳
攽	fwff	分攵
斑	wwwf	𤣩王文
斒	whkc	文户冂卄
昄	oiyz	日𠂆又
朌	offo	月分
板	miyz	木𠂆又
柈	mbju	木半
湴	dbay	氵丷一业
版	piyz	片𠂆又
班	wwll	𤣩王リ
瓣	xxgx	辛辛瓜
瓪	wiyz	瓦𠂆又
瘢	bvuu	疒舟殳
癍	bwww	疒𤣩王文
秚	hbje	禾半
粄	miyz	米𠂆又
絆	sbji	糹半
绊	sbji	纟半
肦	offo	⺼分
舨	viyz	舟𠂆又
般	vuuz	舟殳
蝂	ipiy	虫片𠂆又
螁	izgf	虫辶艮
螌	vuis	舟殳虫
褩	vuyi	舟殳衣
跘	zbju	𧾷半
辦	xxli	辛辛力
辬	xxwf	辛辛文
鈑	jiyz	金𠂆又
鉡	jbjn	金半
钣	jiyz	钅𠂆又
闆	mkkk	門口口口
阪	eiyz	⻖𠂆又
靽	gbje	革半
頒	fyef	分頁
颁	fyef	分页
魬	yiyz	魚𠂆又
鳻	fnnf	分鳥
𠔯	bybf	八业丷一夫
𠚼	fdcf	分刂
𠦒	cfgc	艹丰
𠧫	bowf	⺊日夂
𠯘	kiyz	口𠂆又
𠺚	kwwl	口𤣩王リ
𡯘	yiyz	尢𠂆又
𢲔	fwwl	扌𤣩王リ
𢴬	fwww	扌𤣩王文
𣪂	duuj	丹殳
𤡰	qwww	犭𤣩王文
𤦦	wfwh	𤣩分王
𤫫	fgxf	分瓜
𤳖	ctqu	釆田去
𥷁	vxxl	竹辛辛力
𥹓	mqui	米去
𦎊	ybba	羊白八
𦙹	ouxx	⺼尸乂
𦝤	obay	⺼丷一业
𧇥	hjmm	虍几木木
𧌿	piyi	片𠂆又虫
𧿨	ziyz	𧾷𠂆又
𨐦	xfgb	辛風
𨐱	xoxb	辛月辛
𨐾	vxxk	⺄辛辛亠二口
𨭉	wyaj	文弋一止金
𩔮	wwly	𤣩王リ頁
𩢔	mbja	馬半
𩭧	egpu	E𠫔彡{卑上}十
𩿉	nffn	鳥分
𪄕	wwln	𤣩王リ鳥
𪒋	lhvu	{里}灬舟殳
㔙	bkli	丷开力
㭋	mfgu	木丰
㮄	mebf	木二勹方
㯁	melk	木⻖立口
㾦	blkz	疒立口
䂜	ufgi	石丰
䎧	llkz	耒立口
䖫	ibgj	虫八干
䟺	zbwu	𧾷貝
䧛	ewbf	⻖亠丷冖方
䰷	yfgu	魚丰
傍	rwbf	亻亠丷冖方
垹	tfer	土丰⻏
塝	twbf	土亠丷冖方
帮	fejb	丰⻏巾
幇	ttcj	土土寸巾
幚	febj	丰⻏白巾
幫	ttcj	土土寸白巾
彭	tkbp	士口䒑彡
挷	ffer	扌丰⻏
捠	fqba	扌丘八
搒	fwbf	扌亠丷冖方
旁	wbbf	亠丷冖方
梆	mfer	木丰⻏
棒	mifg	木𡗗𰀁
棓	mlkz	木立口
榜	mwbf	木亠丷冖方
浜	dqba	氵丘八
牓	pwbf	片亠丷冖方
玤	wfgf	𤣩丰
硥	ulpp	石龙丿丿
磅	uwbf	石亠丷冖方
稖	hlkz	禾立口
綁	sfer	糹丰⻏
縍	swbf	糹亠丷冖方
绑	sfer	纟丰⻏
膀	owbf	⺼亠丷冖方
艕	vwbf	舟亠丷冖方
蒡	cwbf	艹亠丷冖方
蚄	ifhs	虫方
蚌	ifgs	虫丰
蛖	ilpp	虫龙丿丿
蜯	iifg	虫𡗗𰀁
謗	ywbf	訁亠丷冖方
谤	ywbf	讠亠丷冖方
邦	ferg	丰⻏
邫	fkba	丰口巴
鎊	jwbf	金亠丷冖方
镑	jwbf	钅亠丷冖方
鞤	ttcg	土土寸革
髈	gowf	冎⺼亠丷冖方
𠨵	ifgh	厂丰
𠬣	vayz	㇉一又
𠲑	bkvv	半口𠄎
𠳐	kfer	口丰⻏
𡽲	umwf	山木亠丷冖方
𢁏	nkpj	⺧口丿皿己
𢄎	jwbf	巾亠丷冖方
𢜗	xifg	忄𡗗𰀁
𢪋	ffgu	扌丰
𢮏	ulkz	手立口
𢶶	flox	扌立日心
𢸌	fuej	扌龵⻏白巾
𣘙	mlke	木立口⻏
𣮡	ducm	大十廾毛
𣮧	baym	丷一业毛
𤚰	nwbf	牜亠丷冖方
𤱵	jtmr	龹田
𥀂	ttcp	土土寸皮
𦰥	cuer	艹龵⻏
𦾭	cpwf	艹片亠丷冖方
𨢐	ywbf	酉亠丷冖方
𩋮	gttc	革土土寸
𩍗	gosw	革日⺫万
𩦠	mxud	馬覀示刂
𩮗	egpl	E𠫔彡立立
㙅	tkmu	土口木
㙸	tryf	土亻业丷一夫
㫧	omio	日米
㲏	pmcm	片毛
㲒	jmcu	句毛
㵡	dybc	氵雨包
㻄	wpaz	𤣩丿一龰
㿺	ogup	日共氺皮
䈏	vakt	竹{一}口田
䎂	xxbc	习习包
䤖	yogu	酉日共氺
䥤	jybc	金雨包
䨌	yyru	雨元
䨔	yglu	雨光
䪨	louc	立日勺
䭋	urkm	飠亻口木
䳈	nbcn	鳥包
䳰	rkmn	亻口木鳥
䴐	bwfn	宀𤣩缶貝鳥
佨	rbcf	亻包
保	rkmu	亻口木
儤	rogu	亻日共氺
刨	bdcc	包刂
剝	hudc	彑⺢刂
剥	eudc	彐⺢刂
勹	pvvp	丿𠃌
勽	brfc	勹人
包	bsic	勹巳
嚗	kogu	口日共氺
堡	rkmt	亻口木土
堢	trkm	土亻口木
報	tbgy	土丷干卩又
媬	nrkm	女亻口木
孢	zbci	子包
宝	byuc	宀玉
宲	bkmu	宀口木
寚	bwfz	宀王缶
寳	bwdb	宀𤣩⺈小貝
寶	bwfb	宀𤣩缶貝
忁	roiu	彳日出大⺢
怉	xbcb	忄包
报	feyz	扌卩又
抱	fbcu	扌包
暴	oguv	日共氺
曓	oidb	日出大本
曝	oogu	日日共氺
枹	mbcu	木包
瀑	dogu	氵日共氺
炮	hbco	火包
煲	rkmh	亻口木火
爆	hogu	火日共氺
犦	nogu	牜日共氺
犳	qucr	犭勺
珤	wfzf	𤣩缶
窇	bbbc	宀八包
笣	vbcu	竹包
緥	srkm	糹亻口木
胞	obco	⺼包
苞	cbcc	艹包
菢	cfbc	艹扌包
葆	crkm	艹亻口木
蕔	ctby	艹土丷干卩又
薄	cdfc	艹氵甫寸
藵	cyrm	艹衣亻口木
虣	yavj	弋一止虍几
蚫	ibcs	虫包
袌	ybci	衣包
裦	ypmc	衣𠀉矛
褒	yrkm	衣亻口木
褓	prkm	衤亻口木
襃	ypkm	衣𠀉口木
豹	vuci	豸勺
賲	rkmb	亻口木貝
趵	zucu	𧾷勺
鉋	jbcn	金包
鑤	jogu	金日共氺
铇	jbcn	钅包
闁	mmff	門門
雹	ybcu	雨包
靌	ybwb	雨宀𤣩⺈小貝
飹	uper	飠𠂎卩
飽	ubci	飠包
饱	ubci	饣包
駂	buma	匕十馬
骲	gobc	冎⺼包
髱	egpb	E𠫔彡包
鮑	ybcu	魚包
鲍	ybcu	鱼包
鳵	vunn	⺄十鳥
鴇	bunn	匕十鳥
鸨	bunn	匕十鸟
齙	vkrb	止凵人人一人人包
龅	vkrb	止凵人包
𠅬	wney	亠⺧儿⺊又
𠣒	brer	勹亻二
𠣺	dbmb	冫匕木包
𠤏	buii	匕十
𠹕	kvuc	口豸勺
𡂟	kkkb	口口口木包
𡉩	tqru	土犬
𡧖	bvmu	宀㇇木
𡶄	ubcj	山包
𢼌	bbyz	包⺊又
𣋳	olho	日鹿灬
𣭀	bmcc	包毛
𤔣	vjyz	爫𦥔又
𤝧	qruc	犭亻勺
𤞥	qkmu	犭口木
𤿈	upic	勺皮
𥄹	obcu	目包
𥭓	vhuc	竹火勺
𦡕	oybc	⺼雨包
𦢊	oogu	⺼日共氺
𧘑	pucp	衤勺
𧝘	pyjq	衤衣臼
